提示,ti2shi4,to prompt;to present;to point out;to draw attention to sth;hint;brief;cue
调解,tiao2jie3,to mediate;to bring parties to an agreement
童话,tong2hua4,children's fairy tales
团结,tuan2jie2,a rally;to hold a rally;to join forces
挖掘,wa1jue2,to excavate;to dig;to unearth
挽救,wan3jiu4,to save;to remedy;to rescue
为难,wei2nan2,feel embarrassed or awkward;to make things difficult (for someone);to find things difficult (to do or manage)
文献,wen2xian4,document
无赖,wu2lai4,hoodlum;rascal;rogue;rascally;scoundrelly
物资,wu4zi1,goods and materials
霞,xia2,red clouds
显著,xian3zhu4,outstanding;notable;remarkable
响应,xiang3ying4,respond to;answer;CL:個|个[ge4]
携带,xie2dai4,to carry (on one's person);to support (old);Taiwan pr. xi1 dai4
心态,xin1tai4,attitude (of the heart);state of one's psyche;way of thinking;mentality
行政,xing2zheng4,administration;administrative
绣,xiu4,to embroider
旋转,xuan2zhuan3,to rotate;to revolve;to spin;to whirl
压缩,ya1suo1,to compress;compression
岩石,yan2shi2,rock
氧气,yang3qi4,oxygen
一度,yi1du4,for a time;at one time;one time;once
遗产,yi2chan3,heritage;legacy;inheritance;bequest;CL:筆|笔[bi3]
毅然,yi4ran2,firmly;resolutely;without hesitation
隐约,yin3yue1,vague;faint;indistinct
用功,yong4gong1,diligent;industrious (in one's studies);to study hard;to make great effort
与日俱增,yu3ri4ju4zeng1,to increase steadily;to grow with each passing day
园林,yuan2lin2,gardens;park;landscape garden
杂技,za2ji4,acrobatics;CL:場|场[chang3]
遭殃,zao1yang1,to suffer a calamity
瞻仰,zhan1yang3,to revere;to admire
朝气蓬勃,zhao1qi4peng2bo2,full of youthful energy (idiom);vigorous;energetic;a bright spark
真挚,zhen1zhi4,sincere;sincerity
争先恐后,zheng1xian1kong3hou4,striving to be first and fearing to be last (idiom);outdoing one another
支撑,zhi1cheng1,to prop up;to support;strut;brace
指甲,zhi3jia,fingernail
智商,zhi4shang1,IQ (intelligence quotient)
种族,zhong3zu2,race;ethnicity
拄,zhu3,to lean on;to prop on
拽,zhuai4,to drag;to haul
壮观,zhuang4guan1,spectacular;magnificent sight
资助,zi1zhu4,to subsidize;to provide financial aid;subsidy
揍,zou4,to beat up;to break to pieces
作风,zuo4feng1,style;style of work;way
