讨论,tao3lun4,to discuss;to talk over;CL:個|个[ge4]
提前,ti2qian2,to shift to an earlier date;to bring forward;to advance
停止,ting2zhi3,to stop;to halt;to cease
同情,tong2qing2,compassion;relent;sympathize;sympathy
袜子,wa4zi,socks;stockings;CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]
往往,wang3wang3,often;frequently
温度,wen1du4,temperature;CL:個|个[ge4]
无,wu2,-less;not to have;no;none;not;to lack;un-
西红柿,xi1hong2shi4,tomato;CL:隻|只[zhi1]
现代,xian4dai4,modern times;modern age;modern era
相反,xiang1fan3,opposite;contrary
小说,xiao3shuo1,novel;fiction;CL:本[ben3],部[bu4]
心情,xin1qing2,mood;frame of mind;CL:個|个[ge4]
兴奋,xing1fen4,excited;excitement
幸福,xing4fu2,blessed;happiness;happy
血,xue4,blood;informal colloquial and Taiwan pr. xie3;also pr. xue3;CL:滴[di1],片[pian4]
呀,ya,(particle equivalent to 啊 after a vowel, expressing surprise or doubt)
严重,yan2zhong4,grave;serious;severe;critical
养成,yang3cheng2,to cultivate;to raise;to form (a habit);to acquire
也许,ye3xu3,perhaps;maybe
以,yi3,to use as;according to;because of
因此,yin1ci3,thus;consequently;as a result
赢,ying2,to beat;to win;to profit
优点,you1dian3,merit;benefit;strong point;advantage;CL:個|个[ge4]
尤其,you2qi2,especially;particularly
友谊,you3yi4,companionship;fellowship;friendship
羽毛球,yu3mao2qiu2,shuttlecock;badminton;CL:個|个[ge4]
原来,yuan2lai2,original;former;originally;formerly;at first;so... actually
阅读,yue4du2,to read;reading
暂时,zan4shi2,temporary;provisional;for the time being
窄,zhai3,narrow;narrow-minded;badly off
整齐,zheng3qi2,orderly;neat;even;tidy
正确,zheng4que4,correct;proper
支持,zhi1chi2,to be in favor of;to support;to back;support;backing;to stand by;CL:個|个[ge4]
植物,zhi2wu4,botanical;plant;vegetation;CL:種|种[zhong3]
只要,zhi3yao4,if only;so long as
中文,Zhong1wen2,Chinese;Chinese written language;Chinese writing
猪,zhu1,hog;pig;swine;CL:口[kou3],頭|头[tou2]
祝贺,zhu4he4,to congratulate;congratulations;CL:個|个[ge4]
赚,zhuan4,earn;make a profit
仔细,zi3xi4,careful;attentive;cautious
组成,zu3cheng2,component;part;element;constitute;make up
最后,zui4hou4,final;last;finally;ultimate
座位,zuo4wei4,seat;CL:個|个[ge4]
