亭子,ting2zi,pavilion
突破,tu1po4,to break through;to make a breakthrough;to surmount or break the back of (a task etc);(of ball sports) to break through a defense
托运,tuo1yun4,to consign (goods);to check through (baggage)
完毕,wan2bi4,to finish;to end;to complete
威力,wei1li4,might;formidable power
卫星,wei4xing1,(space) satellite;CL:顆|颗[ke1]
无从,wu2cong2,not to have access;beyond one's authority or capability;sth one has no way of doing
勿,wu4,do not
喜闻乐见,xi3wen2le4jian4,a delight to see (idiom);an attractive spectacle
弦,xian2,bow string;string of musical instrument;watchspring;chord (segment of curve);hypotenuse;CL:根[gen1]
相辅相成,xiang1fu3xiang1cheng2,to complement one another (idiom)
消极,xiao1ji2,negative;passive;inactive
心得,xin1de2,knowledge gained;CL:個|个[ge4]
腥,xing1,fishy (smell)
雄厚,xiong2hou4,robust;strong and solid
宣誓,xuan1shi4,to swear an oath (of office);to make a vow
巡逻,xun2luo2,to patrol (police, army or navy)
严厉,yan2li4,severe;strict
眼下,yan3xia4,now;at present;subocular (medicine)
要命,yao4ming4,to cause sb's death;very;extremely;frightening;annoying
一如既往,yi1ru2ji4wang3,just as in the past (idiom);as before;continuing as always
以致,yi3zhi4,to such an extent as to;down to;up to
隐患,yin3huan4,a danger concealed within sth;hidden damage;misfortune not visible from the surface
庸俗,yong1su2,filthy;vulgar;debased
诱惑,you4huo4,to entice;to lure;to induce;to attract
预言,yu4yan2,to predict;prophecy
蕴藏,yun4cang2,to hold in store;to contain (untapped reserves etc)
赞叹,zan4tan4,to sigh or gasp in admiration;high praise
扎实,zha1shi,strong;solid;sturdy;firm;practical
战役,zhan4yi4,military campaign
折,zhe2,to break;to snap;to suffer the loss of;to turn;to bend;to admire;to amount to;to discoun;to fold;turning stroke (in Chinese character);booklet
争端,zheng1duan1,dispute;controversy;conflict
证实,zheng4shi2,to confirm (sth to be true);to verify
殖民地,zhi2min2di4,colony
治理,zhi4li3,to govern;to administer;to manage;to control
忠实,zhong1shi2,faithful
周转,zhou1zhuan3,turnover (in cash or personnel);to have enough resources to cover a need
助手,zhu4shou3,assistant;helper
传记,zhuan4ji4,biography;CL:篇[pian1],部[bu4]
资本,zi1ben3,capital (as in capitalism)
总而言之,zong3er2yan2zhi1,in short;in a word;in brief
遵循,zun1xun2,to follow;to abide by;to comply with;compliance
