田野,tian2ye3,field;open land;CL:片[pian4]
统治,tong3zhi4,to rule (a country);to govern;rule;regime
兔子,tu4zi,hare;rabbit;CL:隻|只[zhi1]
外交,wai4jiao1,diplomacy;diplomatic;foreign affairs;CL:個|个[ge4]
危害,wei1hai4,to jeopardize;to harm;to endanger;CL:個|个[ge4]
伟大,wei3da4,great;mighty;large
温暖,wen1nuan3,warm
问候,wen4hou4,to give one's respects;to send a greeting
物质,wu4zhi4,matter;substance;material;materialistic;CL:個|个[ge4]
鲜艳,xian1yan4,bright-colored;gaily-colored
相当,xiang1dang1,equivalent to;appropriate;considerably;to a certain extent;fairly
项链,xiang4lian4,necklace
销售,xiao1shou4,to sell;market;sales
心理,xin1li3,mental;psychological
形容,xing2rong2,to describe;description;appearance;look
胸,xiong1,chest;bosom;heart;mind;thorax
选举,xuan3ju3,to elect;election;CL:次[ci4],個|个[ge4]
严肃,yan2su4,solemn;solemnity
要是,yao4shi,if
一致,yi1zhi4,unanimous;identical (views or opinions)
意外,yi4wai4,unexpected;accident;mishap;CL:個|个[ge4]
营养,ying2yang3,nutrition;nourishment;CL:種|种[zhong3]
拥挤,yong1ji3,to crowd
犹豫,you2yu4,to hesitate
预报,yu4bao4,forecast
晕,yun1,confused;dizzy;giddy;faint;swoon;lose consciousness;pass out
糟糕,zao1gao1,too bad;how terrible;what bad luck;terrible;bad
战争,zhan4zheng1,war;conflict;CL:場|场[chang2],次[ci4]
针对,zhen1dui4,to be directed against;to be aimed at;to counter;in the light of;in connection with
争论,zheng1lun4,to argue;to debate;to contend;argument;contention;controversy;debate;CL:次[ci4],場|场[chang3]
证据,zheng4ju4,evidence;proof;testimony
指导,zhi3dao3,to guide;to give directions;to direct;to coach;guidance;tuition;CL:個|个[ge4]
志愿者,zhi4yuan4zhe3,volunteer
逐步,zhu2bu4,progressively;step by step
注册,zhu4ce4,to register;to enroll
状况,zhuang4kuang4,condition;state;situation;CL:個|个[ge4]
紫,zi3,purple;violet;amethyst;Lithospermum erythrorhizon (flowering plant whose root provides red purple dye);Japanese: murasaki
自愿,zi4yuan4,voluntary
祖国,zu3guo2,ancestral land CL:個|个[ge4];homeland;used for PRC
作品,zuo4pin3,work (of art);opus;CL:部[bu4],篇[pian1]
