爱不释手,ai4bu4shi4shou3,to love sth too much to part with it (idiom);to fondle admiringly
巴不得,ba1bu4de2,to be eager for;to long for;to look forward to
斑纹,ban1wen2,stripe;streak
保姆,bao3mu3,nanny;housekeeper
报销,bao4xiao1,submit an expense account;apply for reimbursement;write-off;wipe out
本钱,ben3qian2,capital
必定,bi4ding4,be bound to;be sure to
便利,bian4li4,convenient;easy;facilitate
别墅,bie2shu4,villa;CL:幢[zhuang4],座[zuo4]
伯母,bo2mu3,wife of father's elder brother;aunt;(polite form of address for a woman who is about the age of one's mother);CL:個|个[ge4]
不愧,bu4kui4,be worthy of;deserve to be called;prove oneself to be
裁判,cai2pan4,judgment;to referee;umpire;judge;referee;CL:個|个[ge4],位[wei4],名[ming2]
仓库,cang1ku4,depot;storehouse;warehouse
刹那,cha4na4,an instant (Sanskrit: ksana);split second;the twinkling of an eye
敞开,chang3kai1,wide open;to open up
陈列,chen2lie4,to display;to exhibit
澄清,cheng2qing1,clear (of liquid);limpid;to clarify;to make sth clear;to be clear (about the facts)
充当,chong1dang1,to serve as;to act as;to play the role of
初步,chu1bu4,initial;preliminary;tentative
传达,chuan2da2,to pass on;to convey;to relay;to transmit;transmission
慈祥,ci2xiang2,kindly;benevolent (often of older person)
搭档,da1dang4,to cooperate;partner
大体,da4ti3,in general;more or less;in rough terms;basically;on the whole
当初,dang1chu1,at that time;originally
盗窃,dao4qie4,to steal
地道,di4dao,real;pure;genuine;typical;well-done;thorough
调动,diao4dong4,to transfer;to maneuver (troops etc)
动脉,dong4mai4,artery
端午节,duan1wu3jie2,The Dragon Boat Festival (the 5th day of the 5th lunar month)
对照,dui4zhao4,to contrast;to compare;to place side by side for comparison (as parallel texts);to check
发火,fa1huo3,to catch fire;to ignite;to detonate;to get angry
反倒,fan3dao4,but on the contrary;but expectedly
防疫,fang2yi4,disease prevention;protection against epidemic
废墟,fei4xu1,ruins
风暴,feng1bao4,storm;violent commotion;fig. crisis (e.g. revolution, uprising, financial crisis etc)
夫妇,fu1fu4,a (married) couple;husband and wife;CL:對|对[dui4]
副,fu4,secondary;auxiliary;deputy;assistant;vice-;abbr. for 副詞|副词 adverb;classifier for pairs
干涉,gan1she4,to interfere;to meddle;interference
高明,gao1ming2,wise;brilliant;superior
跟前,gen1qian2,in front of;close to;nearby;the time just before
恭敬,gong1jing4,deferential;with respect
共鸣,gong4ming2,physical resonance;sympathetic response to sth
故乡,gu4xiang1,home;homeland;native place;CL:個|个[ge4]
规范,gui1fan4,norm;standard;specification;regulation;rule;within the rules;to fix rules;to regulate;to specify
过滤,guo4lv4,to filter;filter
豪迈,hao2mai4,bold;open-minded;heroic
和谐,he2xie2,harmonious
后面,hou4mian4,rear;back;behind;later;afterwards
化妆,hua4zhuang1,to put on make-up
回顾,hui2gu4,to look back;to review
火药,huo3yao4,gunpowder
机遇,ji1yu4,opportunity;favorable circumstance;stroke of luck
急躁,ji2zao4,irritable;irascible;impetuous
加工,jia1gong1,to process;processing;working (of machinery)
坚硬,jian1ying4,hard;solid
间接,jian4jie1,indirect
焦点,jiao1dian3,focus;focal point
