畏,wei4,to fear
文件,wen2jian4,document;file;CL:份[fen4]
无奈,wu2nai4,without choice;for lack of better option;grudgingly;willy-nilly;nolens volens;abbr. for 無可奈何|无可奈何[wu2 ke3 nai4 he2]
细节,xi4jie2,details;particulars
显示,xian3shi4,to show;to illustrate;to display;to demonstrate
相连,xiang1lian2,to link;to join;link;connection
象棋,xiang4qi2,Chinese chess;CL:副[fu4]
小麦,xiao3mai4,wheat;CL:粒[li4]
信封,xin4feng1,envelope;CL:個|个[ge4]
行为,xing2wei2,action;conduct;behavior;activity
修改,xiu1gai3,to amend;to alter;to modify
学问,xue2wen4,learning;knowledge;CL:個|个[ge4]
痒,yang3,to itch;to tickle
业务,ye4wu4,business;profession;CL:個|个[ge4]
移民,yi2min2,to immigrate;to migrate;emigrant;immigrant
因而,yin1er2,therefore;as a result;thus;and as a result, ...
硬币,ying4bi4,a coin;CL:枚[mei2]
优惠,you1hui4,preferential;favorable
幼儿园,you4er2yuan2,kindergarten;nursery school
玉米,yu4mi3,corn;maize;CL:粒[li4]
运用,yun4yong4,to use;to put to use
责备,ze2bei4,to blame;to criticize sb
账户,zhang4hu4,a bank account
珍惜,zhen1xi1,treasure;value;cherish;Taiwan pr. zhen1 xi2
整个,zheng3ge4,whole;entire;total
支,zhi1,to support;to sustain;to erect;to raise;branch;division;to draw money;surname Zhi;classifier for rods such as pens and guns, for army divisions and for songs or compositions;watt, classifier for power of light bulbs
制度,zhi4du4,system (e.g. political, adminstrative etc);institution;CL:個|个[ge4]
中介,zhong1jie4,to act as intermediary;to link;intermediate;inter-;agency;agent
主持,zhu3chi2,to take charge of;to manage or direct;to preside over;to uphold;to stand for (eg justice);to host (a TV or radio program etc)
专家,zhuan1jia1,expert;specialist;CL:個|个[ge4]
资格,zi1ge2,qualifications
自豪,zi4hao2,(feel a sense of) pride;to be proud of sth (in a good way)
总裁,zong3cai2,chairman;director-general (of a company etc)
阻止,zu3zhi3,to prevent;to block
